,Title,Rating,Genres,Volumes,Chapters,Status,Authors,Type,Synopsis,Published,Img_Url
151,Ping Pong,8.43," Drama, Sports, Psychological, Seinen", 5, 55, Finished," Matsumoto, Taiyou (Story & Art)", Manga,"Makoto Tsukimoto (nicknamed Smile) is a quiet high schooler who's been friends with the loud and energetic Yutaka Hoshino (nicknamed Peco) since childhood. They're both in the local table tennis club and both have a natural talent for it, although Smile's personality always prevents him from winning against Peco. The club teacher, however, notices Smile's talent and tries to make him gain some sportive tenacity.(Source: ANN, edited)"," , 1996 to , 1997",https://cdn.myanimelist.net/images/manga/2/151416.jpg
152,Rainbow: Nisha Rokubou no Shichinin,8.43," Drama, Historical, Psychological, Seinen", 22, 235, Finished," Abe, George (Story), Kakizaki, Masasumi (Art)", Manga,"Six minors (16 or 17 years) answering to the nicknames of Joe, Mario, Suppon, Baremoto, Heitai and Kyabetsu are put into a reformatory for offences such as aggravated assault, swindle, flight, etc. Their stay in hell begins immediately. Accommodated by a doctor paedophile, they are placed under the monitoring of a despotic and brutal crew. Companions of cell of certain Sakuragi (called Anchan), the tension flares up between the band of buddies and their new ""friend.""A brawl breaks out and our six prisoners are done rossés by mysterious young man thanks to his boxing talent.The story will not only follow the lives of these seven characters surviving in their hellish environment, but also their disillusions due to the rejection by the outside world and by their close relations. This is about the extraodinary and invincible friendships between these young men."," Nov 21, 2002 to Jan 4, 2010",https://cdn.myanimelist.net/images/manga/2/217981.jpg
153,"Bakuman.
Bakuman。",8.43," Comedy, Drama, Romance, Shounen", 20, 176, Finished," Obata, Takeshi (Art), Ohba, Tsugumi (Story)", Manga,"Despite being a talented artist, middle school student Moritaka Mashiro is unsure about his future, accepting that he will simply lead a normal life. After seeing one of Mashiro's drawings in class, Akito Takagi—an aspiring writer—insists that they write a manga together. But Mashiro is hesitant—his uncle, a mangaka, had died from overworking just a few years prior. However, when Mashiro hears that his crush, Miho Azuki, aims to be a voice actress, he becomes determined to create a manga that can be adapted into an anime for her to star in. Reciprocating Mashiro's feelings, she agrees to get married once they have both achieved their dreams.Bakuman. chronicles Mashiro and Takagi's successes and struggles in their attempts to be serialized in Weekly Shounen Jump and become famous mangakas. Will their gamble pay off, or will they join the countless number of failures?[Written by MAL Rewrite]"," Aug 11, 2008 to Apr 23, 2012",https://cdn.myanimelist.net/images/manga/1/208974.jpg
154,"Bungou Stray Dogs
Bungo Stray Dogs",8.43," Action, Supernatural, Seinen", , , Publishing," Asagiri, Kafka (Story), Harukawa35 (Art)", Manga,"Atsushi Nakajima is on the brink of death after being kicked out of his orphanage. With no food and nowhere to go, all hope seems lost—until he saves a mysterious man called Osamu Dazai from drowning. Much to his partner Doppo Kunikida's irritation, Dazai offers Atsushi a meal and reveals they work for the Armed Detective Agency, an organization of gifted individuals who take care of criminal cases the authorities cannot.The two ask Atsushi for his assistance in tracking down a supernatural tiger that has been wreaking havoc throughout the city, and he reluctantly agrees. After they resolve the case, Dazai offers him a position in the agency. But the job is about to get a lot more dangerous as the Port Mafia, the local crime syndicate, begins to move against them. Caught in the middle of a turf war, Atsushi must master his newfound special ability in order to protect himself, his new friends, and the entire city.[Written by MAL Rewrite]"," Dec 4, 2012 to ?",https://cdn.myanimelist.net/images/manga/2/100769.jpg
155,Tobaku Datenroku Kaiji: One Poker-hen,8.43," Drama, Game, Psychological, Seinen", 16, 154, Finished," Fukumoto, Nobuyuki (Story & Art)", Manga,"In the aftermath of the disclosure game that won two Mahjong anomalies, the villainy ""17 steps"" game. Kazuya sets forth a gamble of 2,000,000,000 Yen! How will Kaiji survive?!"," Jun 3, 2013 to Aug 21, 2017",https://cdn.myanimelist.net/images/manga/3/106039.jpg
156,"Kusuriya no Hitorigoto
The Apothecary Diaries",8.43," Drama, Historical, Seinen", , , Publishing," Hyuuga, Natsu (Story), Nekokurage (Art), Nanao, Itsuki (Story)", Manga,"In an imperial court in ancient China, it has been a few months since a 17-year-old girl known as Maomao was kidnapped and forced to work as a low-level servant at the emperor's palace. Still, she manages to retain her curious and pragmatic spirit, planning to work until her years of servitude are over. One day, however, she catches wind of the fact that the emperor's two infants have fallen gravely ill. She decides to secretly take action, drawing on her experience as a pharmacist raised in the poor red-light district.Despite Maomao's attempts to remain anonymous, she soon catches the eye of Jinshi, an influential eunuch who recognizes her talents. Maomao soon finds herself in the emperor's inner court, where she gradually makes a name for herself by utilizing her knowledge and eccentric personality to solve various medical mysteries.[Written by MAL Rewrite]"," May 25, 2017 to ?",https://cdn.myanimelist.net/images/manga/3/201154.jpg
157,The Breaker: New Waves,8.43," Action, Comedy, Drama, Martial Arts, Romance, School", 20, 203, Finished," Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)", Manhwa,"After Yi ""Shioon"" Shi-Woon's master, Goomoonryong, breaks his ki-center, leaving him unable to use his martial arts, he decides to leave the world of Murim and continue on with his normal life: going to school and coming home to his mother every day. However, Murim has other ideas.Discovered as the only true disciple of Goomoonryong and entrusted with the Phoenix Medallion of the Sunwoo Clan by Lady Sosul—making him the interim leader of the Sunwoo Clan—the world of Murim is not so eager to let Shioon leave. With his new status, enemies Shioon has never encountered before keep appearing before him, such as the organization known as Soldiers Under Command. They are intent on getting rid of him for the sake of their own prosperity, but how will Shioon defend himself without his ki-center intact?[Written by MAL Rewrite]"," Oct 8, 2010 to May 8, 2015",https://cdn.myanimelist.net/images/manga/1/62105.jpg
158,No.6,8.43," Action, Mystery, Sci-Fi", 9, 43, Finished," Asano, Atsuko (Story)", Novel,"The year is 2013 in the city of No. 6, the city that embodies the highest ideals of humankind. Shion has been raised here as a high-ranking elite since the age of two, but on the night of his twelfth birthday his fate is turned upside-down when he meets a boy who calls himself Nezumi.""Why did I open the window that night? If I had not, I'd never have needed to know what it is like to fight, starve, or suffer in anguish....""(Source: Nostalgia on 9th Avenue)"," Oct 10, 2003 to Jun 14, 2011",https://cdn.myanimelist.net/images/manga/2/129825.jpg
159,21st Century Boys,8.42," Mystery, Drama, Sci-Fi, Psychological, Seinen", 2, 16, Finished," Urasawa, Naoki (Story & Art)", Manga,"As the conflict between Kenji Endo, his childhood friends, and cult leader ""Friend"" comes to an end, two mysteries remain—Friend's true identity and whether the threat of an ""anti-photon bomb"" before his death was legitimate. Hoping to find an answer, Kenji, alongside the United Nations, decides to use a virtual reality program created from Friend's childhood memories in this conclusion to a long journey that will span dozens of decades.[Written by MAL Rewrite]"," Dec 25, 2006 to Jul 14, 2007",https://cdn.myanimelist.net/images/manga/2/54415.jpg
160,Glass no Kamen,8.42," Drama, Romance, Shoujo", , , Publishing," Miuchi, Suzue (Story & Art)", Manga,"Maya Kitajima is a good-for-nothing girl with a passion and talent for acting. After watching a play only once, Maya can immediately perfectly imitate the performance word-by-word. This talent leads her to one day be discovered by Chigusa Tsukikage, a once-famous actress who performed and owned the rights to the play called ""The Crimson Goddess.""Considered to be a legendary play, The Crimson Goddess attracts the attention of many, including Masumi Hayami, a wealthy businessman who is also a secret admirer of Maya. Another one interested in the play is Maya's rival, Ayumi Himekawa, a gifted individual whose veteran parents trained her in acting since childhood.Glass no Kamen follows Maya and Ayumi as they climb their way through the relentless world of entertainment, overcoming intense training and challenges to become actresses worthy of playing the role of The Crimson Goddess.[Written by MAL Rewrite]"," Jan , 1976 to ?",https://cdn.myanimelist.net/images/manga/2/1425.jpg
161,"Juuni Kokuki
The Twelve Kingdoms",8.42, Fantasy, , , Publishing," Ono, Fuyumi (Story), Yamada, Akihiro (Art)", Light Novel,"Beyond this world lies the realm of the Twelve Kingdoms. There, the laws of nature are governed by the Way—a moral code established by the Mandate of Heaven—that causes kingdoms to be ravaged by war and famine when an unsuitable ruler is upon the throne. Babies are born from eggs on trees, and mythical creatures roam the land.When a temporary breach is created between that world and Japan, Youko Nakajima is dragged from her mundane daily life as a high school student and finds herself in a situation far less appealing than that of a fairytale. Once a model student who always conformed to societal pressures, she is now abandoned and pursued by men and beasts alike in the wilds of a land unbound by any earthly sense of order. Struggling to come to terms with these strange new laws as well as the lack of kindness in the people around her, Youko must learn to make her own choices if she is to survive with any sense of integrity.Fantastical and heavily detailed, Juuni Kokuki tells the stories of Youko and other individuals forced to find themselves as they are thrust into an unforgiving and coldly beautiful world.[Written by MAL Rewrite]"," Jun 20, 1992 to ?",https://cdn.myanimelist.net/images/manga/3/157938.jpg
162,My Girl,8.42," Drama, Slice of Life, Seinen", 5, 44, Finished," Yumeka, Sumomo (Story & Art)", Manga,"Twenty-three-year-old Masamune Kazama spends his days working a mundane office job and dwelling on the past. Although it has been five years, the young bachelor continues to hold onto his relationship with his past girlfriend, Youko Tsukamoto.Out of the blue, he receives a call from Youko's mother, who informs him that she has passed away in an accident. Furthermore, he learns that Youko has left him with a young daughter, who was raised in secrecy overseas. Stricken with grief, Masamune decides to take in the young girl and raise her on his own.My Girl is a tale of family, loss, and acceptance as Masamune navigates the complexities of daily life as a single father.[Written by MAL Rewrite]"," Jun 2, 2006 to Sep 3, 2010",https://cdn.myanimelist.net/images/manga/2/42167.jpg
163,"Hoshi no Samidare
Lucifer and the Biscuit Hammer",8.42," Action, Adventure, Comedy, Drama, Psychological, Seinen", 10, 65, Finished," Mizukami, Satoshi (Story & Art)", Manga,"One day, college student Yuuhi Amamiya is approached by talking lizard Sir Noi Crezant. Crezant immediately launches into a fantastical story: the powerful mage Animus intends to destroy the earth with his biscuit hammer, a huge contraption looming high in earth’s orbit. Earth’s only hope lies with the princess and her Beast Knights, whose task is to protect the princess and defeat Animus.Yuuhi is chosen as the Lizard Beast Knight, and despite his misgivings, is quickly forced to defend himself from a golem created by the mage. He is saved by his neighbor, the princess Asahina Samidare, and swears loyalty to her. However, the princess does not intend to save the earth at all. She lets Yuuhi in on her real motivations: to prevent Animus from destroying the earth, only to then annihilate the planet by her own hand. The pair continue to fight off attacks by Animus’s golems while the remaining Beast Knights are slowly being gathered and learning to use their powers. But Yuuhi will have to decide for himself whether to go along with Asahina’s plans, whom he is getting close with, or to save the earth. In the process, he must also confront his true self, and determine where his loyalties truly lie.[Written by MAL Rewrite]"," Jun 30, 2005 to Aug 30, 2010",https://cdn.myanimelist.net/images/manga/3/56421.jpg
164,Monogatari Series: Off Season,8.42," Comedy, Mystery, Drama, Vampire, Supernatural", 4, 155, Finished," NISIO, ISIN (Story), VOFAN (Art)", Light Novel,"Oddities have existed throughout history, with some tales of them dating back to 600 years ago. Stories about vampires, a monkey's paw, shikigami, wanderers in the mountain mist, murderous felines, mermaids, wolves, golems, and, most terrifying of all, humans, have been collected by so-called ""oddity specialists."" The purpose of these specialists is to combat, regulate, and, most importantly, solve the many mysteries behind the circumstances these oddities create.Monogatari Series: Off Season follows eight protagonists—some specialists, some oddities themselves—as they interact with the world of aberrations, often landing themselves in dangerous situations due to their own mischievous doings.[Written by MAL Rewrite]"," Oct 5, 2015 to Jan 11, 2017",https://cdn.myanimelist.net/images/manga/2/181555.jpg
165,"Vanitas no Karte
The Case Study of Vanitas",8.42," Fantasy, Historical, Shounen, Vampire, Supernatural", , , Publishing," Mochizuki, Jun (Story & Art)", Manga,"There once lived a vampire known as Vanitas, hated by his own kind for being born under a full blue moon, as most arise on the night of a crimson one. Afraid and alone, he created the ""Book of Vanitas,"" a cursed grimoire that would one day take his vengeance on all vampires; this is how the story goes, at least.Vanitas no Karte follows Noé Archiviste, a young man who is traveling aboard an airship in 19th century Paris with one goal in mind: to find the Book of Vanitas. A sudden vampire attack leads him to meet the enigmatic Vanitas, a doctor who specializes in vampires and, much to Noé's surprise, an entirely ordinary human. The mysterious doctor has inherited both the name and the infamous text from the Vanitas of legend, using the grimoire to heal his patients. But behind his kind demeanor lies something a bit more sinister...[Written by MAL Rewrite]"," Dec 22, 2015 to ?",https://cdn.myanimelist.net/images/manga/2/176009.jpg
166,"Kimi no Na wa.
Your name.",8.42," Drama, Romance, School, Supernatural, Seinen", 3, 9, Finished," Shinkai, Makoto (Story), Kotone, Ranmaru (Art)", Manga,"Mitsuha Miyamizu is a high school girl living in the countryside town of Itomori. She yearns for a life in Tokyo as she is sick of living in the countryside. At the same time, Taki Tachibana, a high school student, lives in Tokyo and has a great interest in architecture, aiming to become an urban planner in the near future.One day, Mitsuha dreams of herself as a boy living a life in the dense capital, while Taki dreams of living as a girl in the rural town of Itomori. As time passes by, the two discover that these are not just dreams, but that they actually swap bodies upon falling asleep! Kimi no Na wa. revolves around Mitsuha and Taki as they experience the supernatural. With both of them working together to deal with the strange phenomenon, how will this impact their everyday life?[Written by MAL Rewrite]"," May 27, 2016 to Jan 27, 2017",https://cdn.myanimelist.net/images/manga/1/182270.jpg
167,"Youjo Senki
The Saga of Tanya the Evil",8.41," Magic, Military", , , Publishing," Shinotsuki, Shinobu (Art), Zen, Carlo (Story)", Light Novel,"Tanya Degurechaff is a soldier who has the appearance of an innocent young girl. But behind her cute facade lies the soul of a ruthless salaryman who challenged ""Being X""—the self-proclaimed God who reincarnated the man into an industrial world of magic. By doing this, Being X hopes to prove that, if the situation were dire enough, even a non-believer like this man would pray for God's help.Opposing Being X's desires to make her suffer, Tanya enlists in the military with the hope of living a peaceful life. She manages to impress the higher-ups with her aptitude for war, swiftly rising through the ranks. However, her country soon participates in the ongoing world war, quickly crushing her dream. In an attempt to return to her calm she starts using any merciless means to obliterate her opponents. Thus begins the saga of Tanya the Evil and the Empire as they seek world domination.[Written by MAL Rewrite]"," Oct 31, 2013 to ?",https://cdn.myanimelist.net/images/manga/2/155214.jpg
168,SQ: Begin W/Your Name!,8.41," Comedy, School, Shoujo Ai, Slice of Life", 1, 9, Finished, Tanjiu (Story & Art), Manhua,"The funny romantic story of how Qiu Tong and Sun Jing met and fell in love.Note: this entry is for the published volume and not the ongoing webcomic. Please, do not submit any changes."," Oct 5, 2015",https://cdn.myanimelist.net/images/manga/3/165495.jpg
169,"Kimi wa Houkago Insomnia
Insomniacs After School",8.41," School, Slice of Life, Seinen", , , Publishing," Ojiro, Makoto (Story & Art)", Manga,"It all started with the death of one of the Astronomy Club's members. From this, the rumored ghost of the club came to life.Grumpy insomniac Ganta Nakami stumbles across the moderately rebellious yet easygoing Isaki Magari in the Astronomy Club's abandoned observatory. Magari is jolted awake and tries to escape from the scene, only to have a broken door prevent that, forcing the two inside. The two forge an unlikely friendship, leading them to use the observatory as a safe space for them to interact.Kimi wa Houkago Insomnia follows the insomniacs Nakami and Magari's time in the starlit observatory as they help each other cope with insomnia and the lasting effects it has on student life.[Written by MAL Rewrite]"," May 20, 2019 to ?",https://cdn.myanimelist.net/images/manga/2/221335.jpg
170,Basara,8.41," Adventure, Drama, Fantasy, Romance, Shoujo", 27, 112, Finished," Tamura, Yumi (Story & Art)", Manga,"Sarasa grew up knowing that her twin brother Tatara was prophesied to be the ""boy of destiny,"" the one who would overthrow the oppressive government and unite the people. When Tatara dies in battle, however, Sarasa realizes that it's up to her to secretly take on her brother's identity. On the way, Sarasa meets and falls in love with the mysterious Shuri, who may also have something up his sleeve. Together, she and her group of ragtag fighters journey across the land, attacking the many rulers and hoping to someday reach the leader of them all, the Red King."," Aug 11, 1990 to May 13, 1998",https://cdn.myanimelist.net/images/manga/1/185359.jpg
171,Doraemon,8.41," Adventure, Comedy, Kids, School, Sci-Fi, Shounen, Slice of Life", 45, 821, Finished," Fujiko, Fujio F. (Story & Art)", Manga,"Doraemon is cat shaped robot from the future traveling all the way back to the 20th century in order to help Nobi Nobita, a lazy kid with nothing really going for him. Nobi is bad at sports, his grades are terrible, he can't even win a match of rock-paper-scissors. Doraemon has a hard task ahead of him but he is well prepared with a huge arsenal of the most inventive and funny gadgets available. The problem is he's not the most competent robot cat helper out there either and the pair gets in constant trouble because of it. Thus begins one of the most interesting friendships ever to appear in a manga series."," Dec , 1969 to , 1996",https://cdn.myanimelist.net/images/manga/2/41460.jpg
172,Dragon Ball,8.40," Action, Adventure, Comedy, Martial Arts, Sci-Fi, Shounen, Super Power", 42, 520, Finished," Toriyama, Akira (Story & Art)", Manga,"Dragon Ball series follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe.(Source: Wikipedia)"," Nov 20, 1984 to May 23, 1995",https://cdn.myanimelist.net/images/manga/2/54545.jpg
173,"Kiseijuu
Parasyte",8.40," Action, Drama, Horror, Sci-Fi, Psychological, Seinen", 10, 64, Finished," Iwaaki, Hitoshi (Story & Art)", Manga,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm.Thus, both Shinichi and the Parasite—who calls himself Migi—retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites.[Written by MAL Rewrite]"," Nov 22, 1989 to Dec 23, 1995",https://cdn.myanimelist.net/images/manga/2/188928.jpg
174,"Shin Angyo Onshi
Blade of the Phantom Master",8.40," Action, Adventure, Drama, Fantasy, Historical, Supernatural, Seinen", 17, 76, Finished," Yoon, In-Wan (Story), Yang, Kyung-il (Art)", Manga,"In Jushin, there once lived secret government agents called the amen osa (or angyō onshi in the Japanese version), who traveled the countryside in disguise. They were charged by the king with finding and punishing corrupt government officials, and bringing justice to the country's citizens.(Source: Wikipedia)"," Mar 19, 2001 to Aug 18, 2007",https://cdn.myanimelist.net/images/manga/1/161805.jpg
175,"Kaichou wa Maid-sama!
Maid-sama!",8.40," Comedy, Romance, School, Shoujo", 18, 98, Finished," Fujiwara, Hiro (Story & Art)", Manga,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule.However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets.[Written by MAL Rewrite]Included one-shot:
Volume 1: Toumei na Sekai (Transparent World)"," Dec 24, 2005 to Sep 24, 2013",https://cdn.myanimelist.net/images/manga/2/120073.jpg
176,"Tobaku Mokushiroku Kaiji
Gambling Apocalypse Kaiji",8.40," Drama, Game, Seinen", 13, 158, Finished," Fukumoto, Nobuyuki (Story & Art)", Manga,"Itou Kaiji is a bum who steals car emblems and slashes tires on what seems to be a regular basis. This routine changes one day when he is paid a visit by a man in a trench-coat. Once the two get talking, it seems that the visitor (Calling himself Endou) is a debt collector. The reason for his visit is an unpaid loan which kaiji had previously co-signed for a work-mate (Furuhata Takeshi). The original loan was 30000 yen and once Takeshi had disappeared, the loan then fell on Kaiji.Kaiji is then told of a way to clear the interest compounded debt (which stood at 3,850,000 yen), which involved getting on a boat with others in his position. Once on the boat the debtors would then have to gamble with loaned money, which would end with a few winning, and others getting into deeper debt and having to work to pay of their debts. After some coercing kaiji accepts a position on the boat, in order to clear himself and make a bit of money as well...(Source: AniDB)"," Feb 10, 1996 to Jul 26, 1999",https://cdn.myanimelist.net/images/manga/3/22377.jpg
177,"Toaru Majutsu no Index
A Certain Magical Index",8.40," Action, Comedy, Fantasy, Magic, Sci-Fi, Super Power, Supernatural", 22, 133, Finished," Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)", Light Novel,"Despite 80% of its 2.3 million population being students, Academy City is far more advanced than any other nation worldwide. Its residents awaken something akin to a supernatural ability inside them, which is then ranked from Level 0 to 5. Along the lines lies Touma Kamijou, a powerless Level 0 esper. While his abilities are recognized as useless, he possesses a mysterious phenomenon known as ""Imagine Breaker,"" which allows his right hand to nullify any supernatural powers upon coming in contact with them. Despite that, he claims to have rotten luck due to the misfortunes that frequently happen to him.One day, a girl calling herself Index Librorum Prohibitorum mysteriously lands on Touma's balcony and explains to him that she is being hunted down by magicians. This leads the powerless boy to discover a whole new world—one where magic exists. With Touma facing the problems that arise from both the scientific and magical sides of the world, how will he resolve them?[Written by MAL Rewrite]"," Apr 10, 2004 to Oct 10, 2010",https://cdn.myanimelist.net/images/manga/3/176880.jpg
178,"Boku dake ga Inai Machi
ERASED",8.40," Mystery, Supernatural, Psychological, Seinen", 9, 49, Finished," Sanbe, Kei (Story & Art)", Manga,"Satoru Fujinuma is a 29-year-old who works part-time as a pizza deliveryman in order to make ends meet due to his unsuccessful career as a mangaka. But there is more to this struggling adult than meets the eye, as he possesses a mysterious ability which takes him back in time right before a life-threatening incident occurs. When ""Revival,"" as he calls it, triggers, it will continue to send him back again and again until he is able to save the lives of the individuals involved.But Satoru's life is about to take a turn for the worse when a loved one is killed by an unknown man and he is framed for the crime. Desperate to get away so that he can assess his situation, he is inexplicably sent 18 years into the past—right before the disappearance and death of his classmate, Kayo Hinazuki, an event that has plagued him since childhood.Satoru, now an elementary school student, must get his wits together and save the young girl from an untimely demise by figuring out the identity of the person responsible. But just how is Kayo's murder connected to the present?[Written by MAL Rewrite]"," Jun 4, 2012 to Nov 4, 2016",https://cdn.myanimelist.net/images/manga/1/172082.jpg
179,"Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch
Umineko WHEN THEY CRY Episode 6: Dawn of the Golden Witch",8.39," Mystery, Drama, Horror, Magic, Shounen, Supernatural", 6, 26, Finished," Ryukishi07 (Story), Momoyama, Hinase (Art)", Manga,"Now that Battler's found the truth, he's become the next game master. In order to prove to Bernkastel and Lambdadelta that he understands all of Beatrice's previous tricks, he's built a game board of his own and now has to face off against Erika once again."," Nov 18, 2010 to Nov 17, 2012",https://cdn.myanimelist.net/images/manga/2/133437.jpg
180,Annarasumanara,8.39," Mystery, Drama, Romance, School, Psychological, Seinen", 3, 27, Finished," Ha, Il-Kwon (Story & Art)", Manhwa,"There is a rumor that a magician lives in the tent by the abandoned theme park; some even say his magic is real. However, before he starts his show, he always asks his audience: ""Do you believe in magic?""For Yoon Ah-ee, magic seems like a distant memory. Faced with the harsh reality of poverty, she spends all her time studying, working, and taking care of her younger sister in the absence of their parents. She no longer believes in the wonders of magic, just like her skeptical classmate Na Il-Deung, who has been brought up to believe that a good education is the only way to approach life.When Ah-ee stumbles into the abandoned theme park and has a chance encounter with the magician, her life is changed forever. Annarasumanara reveals a philosophical, heartwarming, and thought-provoking story of what it means to grow up into the person you want to be.[Written by MAL Rewrite]"," Jul 2, 2010 to Dec 31, 2010",https://cdn.myanimelist.net/images/manga/3/71143.jpg
181,"Ballroom e Youkoso
Welcome to the Ballroom",8.39," Comedy, Drama, Romance, School, Shounen, Sports", , , Publishing," Takeuchi, Tomo (Story & Art)", Manga,"With no particular dreams or plans for the future, third-year middle schooler Tatara Fujita yearns to find something that he can pursue wholeheartedly. Initially often bullied and extorted for his lack of confidence, Tatara's life changes when he is saved from delinquents by a man named Kaname Sengoku. His savior, a motorcycle-riding dance instructor, proceeds to drag Tatara to Ogasawara Dance Studio, mistakenly believing that the boy was looking at the studio's flyer.Tatara is then partnered with his schoolmate and skilled dancer Shizuku Hanaoka when he agrees to a trial lesson. The next day after being bullied and only to be saved yet again, he asks the studio to teach him dancing in hopes of changing his image. Now entering a bright and fast-paced new world, Tatara dedicates his time to dancing as he sweeps over the dance hall.[Written by MAL Rewrite]"," Nov 5, 2011 to ?",https://cdn.myanimelist.net/images/manga/1/186664.jpg
182,xxxHOLiC,8.39," Comedy, Mystery, Drama, Magic, Supernatural, Seinen", 19, 213, Finished, CLAMP (Story & Art), Manga,"Living alone after his parents passed away, Kimihiro Watanuki is a high school student who can see otherworldly creatures that are attracted to him. His days are plagued by these nuisances, and he wishes to rid himself of this inconvenience. One fateful day, as Kimihiro is being chased by a horde of spirits, his feet bring him into a mysterious store to seek shelter. Here he meets Yuuko Ichihara, the mistress of this supposed store, who claims to be able to grant wishes. Yuuko offers to grant Kimihiro's, as long as he pays an appropriate price.Thus begins Kimihiro's time working in her store to earn the payment necessary for his wish. In Yuuko's employ, he must become further involved with spirits and the supernatural before he can leave that world behind. How will he fare in the inexplicable encounters that await him?[Written by MAL Rewrite]"," Feb 24, 2003 to Feb 9, 2011",https://cdn.myanimelist.net/images/manga/3/217533.jpg
183,Billy Bat,8.39," Mystery, Drama, Historical, Supernatural, Police, Psychological, Seinen", 20, 165, Finished," Urasawa, Naoki (Story & Art), Nagasaki, Takashi (Story)", Manga,"Japanese-American Kevin Yamagata now authors the renowned detective comic book ""Billy Bat"" after serving in the Allied Forces in World War II. But as his series becomes a massive hit, Kevin discovers that his famed character, Billy Bat, already existed before within a Japanese comic. Worried that he may have unconsciously copied something he saw during his time there, Kevin returns to Japan to find Billy Bat's original creator and seek permission for him to use their character. However, as he traces back Billy Bat's roots, he finds himself unraveling a dark and twisted history of murders that somehow involve the character he thought he created.[Written by MAL Rewrite]"," Oct 16, 2008 to Aug 18, 2016",https://cdn.myanimelist.net/images/manga/3/181197.jpg
184,"Machida-kun no Sekai
The world of Machida-kun",8.39," School, Shoujo", 7, 28, Finished," Andou, Yuki (Story & Art)", Manga,"Hajime Machida, despite being a completely average teenager, is adored by his family, friends, and even his classmates. His kind and helpful nature leads to special encounters on a daily basis, whether it be with his younger siblings at home or just someone he meets on the street. Through these interactions and brand new experiences, Machida begins to learn more about himself and the differences between the various types of love.[Written by MAL Rewrite]Included one-shot:
Volume 3: Ai, Aru Seikatsu"," Jun 13, 2013 to Apr 13, 2018",https://cdn.myanimelist.net/images/manga/3/168062.jpg
185,"Tensei shitara Slime Datta Ken
That Time I Got Reincarnated as a Slime",8.39," Fantasy, Shounen", , , Publishing," Kawakami, Taiki (Art), Fuse (Story)", Manga,"It is just another ordinary day for Satoru Mikami. The sun is shining brightly on the streets of Tokyo, and he is in the midst of a discussion with his colleagues when suddenly he gets stabbed by a passing robber. The average 37-year-old corporate worker is now at death's door, and he has only one regret—dying a virgin. Fading out, he is startled by a mysterious AI-like voice reciting commands.Satoru abruptly wakes up in the middle of a strange cave, but something odd has happened: he is now a goop of slime! Thanks to his new body, he has acquired the skill to absorb anything and obtain its appearance and abilities. While testing out his newfound powers and exploring the cave, he stumbles upon a massive dragon named Veldora, who has been sealed away for the past three hundred years. After quickly befriending the beast, Satoru decides to help him escape; in exchange, Satoru is bestowed a new name: ""Rimuru Tempest.""Wishing to avoid a life like his boring and mundane past, Rimuru is about to set out on a grand quest that will change his own destiny and the fate of his new world.[Written by MAL Rewrite]"," Mar 26, 2015 to ?",https://cdn.myanimelist.net/images/manga/3/167639.jpg
186,"Mahoutsukai no Yome
The Ancient Magus' Bride",8.38," Fantasy, Magic, Shounen, Slice of Life", , , Publishing," Yamazaki, Kore (Story & Art)", Manga,"Despite having the ability to see otherworldly creatures, Chise Hatori has never considered herself lucky. Ever since her parents abandoned her at a young age, it has been the center of her hardship, driving her to the point of selling herself to the slave market, just to secure a place she can call home.Presented to the bidders as a rare ''Sleigh Beggy''—beings who have an unusually high affinity to magical energies—Chise's last remaining hope appears in the form of Elias Ainsworth, a mysterious magus more beast than man. Rather than keep her as a slave, he has decided to make her his apprentice, as well as his bride.Chise is not only physically transported to the English countryside where Elias lives, but also introduced to a world where wondrous things such as fairies and dragons are the norm. But she soon realizes there is as much to fear in her new life as there is to marvel at. And lying at the heart of it all is the question of whether she has fallen into the hands of something much darker than her own inner demons.[Written by MAL Rewrite]"," Nov 30, 2013 to ?",https://cdn.myanimelist.net/images/manga/3/121263.jpg
